fixed_acidity,residual_sugar,free_sulfur_dioxide,total_sulfur_dioxide,alcohol,quality
9.5,2.3,12,37,9.6,5
8.9,3.45,4,14,11.5,5
7.3,2.1,10,19,9.6,5
7,2.7,16,72,9.5,5
7.7,2,9,39,9.3,5
7.7,2.1,11,22,9.5,5
7.7,2.1,11,22,9.5,5
8.2,2.5,19,58,9.3,6
9,2.8,28,104,9.2,5
9,2.4,19,38,9.3,5
8.3,4.2,12,16,11.5,6
9.2,2.6,28,139,9.5,5
6.5,1.9,9,18,9.2,5
11.6,2.8,25,101,10,5
11.1,2.7,21,101,9.5,5
7.3,2.1,12,28,9.5,6
8.2,2.5,12,57,9,6
8.6,2.6,16,68,9.4,5
7.2,2.1,12,31,9.6,6
7.3,2.1,12,28,9.5,6
8.3,2.9,17,40,9.5,5
8.3,2.9,17,40,9.5,5
7.6,2.5,24,66,9.4,5
8.3,2.9,17,40,9.5,5
7.8,1.7,14,32,9.1,6
7.8,1.9,22,47,10.7,6
6.3,2,15,33,11.2,6
8.1,2.2,10,31,9.8,5
8.1,2.2,10,31,9.8,5
8.8,2.5,33,88,9.2,5
9,2.8,9,104,9.7,5
9.3,2,5,35,9.6,5
8.8,1.7,8,19,10,6
9.3,2,5,35,9.6,5
9.1,2.8,11,44,9.5,6
9.2,3,12,48,9.5,6
8.8,2.9,12,74,9.4,5
7.5,2.7,13,98,9.5,5
7.1,2.3,24,94,9.7,6
7.9,1.9,7,32,9.6,5
7.1,2.3,24,94,9.7,6
9.4,2.4,23,143,9.4,5
9.5,2.3,23,144,9.4,5
7.9,1.8,1,44,9.5,6
7.9,1.8,2,45,9.5,6
7.2,3,7,16,10,5
6.9,2.4,5.5,48,10.3,6
6.9,2.4,6,18,10.3,6
8.3,3.4,7,34,10.5,5
7.1,2.6,21,92,9.8,5
7,2,12,45,9.4,6
6.5,2.4,9,37,9.8,5
9,2.4,26,96,10,5
6.5,2.4,9,37,9.8,5
7.1,2.5,20,85,9.8,5
9.9,2.3,11,61,9.5,5
9.9,2.3,11,61,9.5,5
10,2.2,19,58,10.1,6
10,2.2,19,58,10.1,6
8.6,2.9,21,119,9.3,5
7.4,2.6,18,82,9.7,6
8.8,2.9,25,130,9.6,5
7.1,2.5,17,87,9.7,6
7.7,2.6,7,13,10.8,5
10.1,2.3,7,26,12.5,6
10.8,2.6,7,60,10.2,5
8.7,2.5,24,64,9.6,5
9.3,1.6,21,42,10.8,7
9.4,3.6,5,14,10.7,6
9.4,3.6,5,14,10.7,6
7.2,4,26,108,9.4,5
8.6,3.3,8,17,10,5
5.1,1.7,14,86,12.9,7
7.7,2.5,14,46,9.6,6
